sim_idx,converged,gen_beta,matlab_beta,gen_lam,matlab_lam,gen_gamma,matlab_gamma,gen_alpha,matlab_alpha,gen_kappa,matlab_kappa,our_beta,our_lam,our_gamma,our_alpha,our_kappa
70,True,2.6423058554422907,2.0625330321706543,1.3217720748662028e-08,0.25288754794699514,0.19448985442713176,,0.7394910880231961,0.9181128066369163,1.0,1.0,2.062532836313857,0.25288760651601866,14.346162711440444,0.9181130144208877,1
71,True,2.3938884017041286,2.545814243187362,0.19083923059234173,0.13531415752968098,1.027068949649828,,0.9697624107722823,1.0,1.0,1.0,2.5458986590588766,0.13531760713326857,15.22212130942124,0.9999,1
72,True,2.28130113046371,2.341731091455681,0.00010005706648534229,0.00010000178005548107,0.38649278981376356,,0.7848161627781975,0.6346610960768061,1.0,1.0,2.28170148717405,0.1,1.0472979430282139,0.6308944270871121,1
73,True,2.4285513526857914,2.5553398295889513,0.032558278544515186,1.2120065357031224e-08,0.772102446317827,,0.6902158027651776,0.7103982234720553,1.0,1.0,2.490483176546125,0.1,15.447107178304629,0.7014496619302971,1
74,True,2.789310242608484,2.4763926307675956,0.2708395150860222,0.5601740498672984,0.551276833866534,,0.5452630378143277,0.5182838050118302,1.0,1.0,2.4763922639260603,0.5601741897398828,14.97002657705658,0.5182839210040802,1
75,True,1.5623837507158196,1.2733060061517274,1.6018452951311202,2.5976273642723915,0.34683841741467186,,0.671422206175452,0.576847254374446,1.0,1.0,1.2733062407060132,2.5976267362851586,2.0,0.5768470723541077,1
76,True,2.61190714750525,2.72392973432946,0.5226807431924815,0.5383644667756483,0.33199023745189393,,0.407922838728857,0.36301428361191446,1.0,1.0,2.7239297394269317,0.538364234513319,13.65117083194953,0.3630143172686368,1
77,True,2.193631316576235,2.187638371258513,0.2998752845110067,0.14066727470462162,1.3021972037465228,,1.0,1.0,1.0,1.0,2.1877184785992356,0.14066584159088746,14.146551102893126,0.9999,1
78,True,1.862301415755368,2.2522566271587943,0.36014635334726514,0.18342276573970984,9.945437888821662,,0.8946050768881171,0.7480052889727166,1.0,1.0,2.252256082923728,0.18342348186470753,4.972717972103443,0.7480055769067094,1
79,True,2.228344934603521,2.6706770093115866,0.11223098549379333,0.3276957109187971,1.5421471439662626,,0.6252140720962707,0.4484748844842918,1.0,1.0,2.6706765040165372,0.32769584366669596,17.525910247787646,0.44847496730999137,1
80,True,1.6557426264555888,1.8025602413639354,0.4694774037252855,0.3491965343409944,5.387250997373907,,0.9999999637768289,0.9999999974376712,1.0,1.0,1.8026373653978238,0.34918783731524805,6.048819811994405,0.9999,1
81,True,1.5574192410703105,1.9730527394043629,1.6452916927868564,0.5549707481926132,6.363789351114196,,0.7727176245027886,0.7385245183237286,1.0,1.0,1.9730525648806265,0.5549708600671306,1.9564876118585142,0.7385246327296356,1
82,True,1.9845677993137059,2.1530647053492493,0.5895574273601691,0.2468837021063155,0.508113755906514,,0.8483411573215603,0.9086000441614704,1.0,1.0,2.153063971364475,0.24688415246730275,15.197549654589311,0.9086004552827825,1
83,True,2.0950639983212387,2.0264844117709737,0.45006534742745974,0.27389745901347395,10.0,,0.987887930201075,1.0,1.0,1.0,2.0265578434545044,0.2738936413063103,2.0,0.9999,1
84,True,2.1805068243759984,2.225691590981218,0.18878085170100797,0.16430746660919038,2.0660357540682925,,0.7516309592532572,0.999999999998989,1.0,1.0,2.225764257540964,0.16432955740048685,5.664216228708985,0.9999,1
85,True,1.7453633947212503,1.8328687246768165,0.7836414846542024,0.5283405296877672,0.7820769317272933,,0.8911770359526666,0.917764289166812,1.0,1.0,1.8328683154961802,0.528340730614096,9.263480720991305,0.9177644198599221,1
86,True,1.8095468133120858,1.869708197893786,0.3302396588436205,0.33378439800744564,3.7934322469476465,,0.9271724493971911,0.9760826990990784,1.0,1.0,1.8697084957104195,0.3337850597956823,5.495296612955563,0.9760818627864692,1
87,True,2.2678069762638917,2.464890939368857,1.5937869421083669e-10,6.124635650070855e-09,0.8308926077809122,,0.6575345700562487,0.5389242099995181,1.0,1.0,2.388823850509903,0.1,2.0,0.5318768564614879,1
88,True,2.03273718324975,2.51427447578824,0.1649710297344302,9.99997049762094e-05,10.0,,1.0,0.7912594180190037,1.0,1.0,2.4377915922317595,0.1,13.537848766820998,0.7933923260077428,1
89,True,2.8073159182617187,2.9130632515403607,0.42108246880643696,0.7443917112980387,0.08792188011313996,,0.5325208464201626,0.46147614687501,1.0,1.0,2.913063013987647,0.7443919713152106,14.97466808736982,0.4614761409877206,1
90,True,2.2333774745769817,2.133582958783064,0.3334787183724096,0.556887870777183,0.367313049053393,,0.7843537831342783,0.7727462733285754,1.0,1.0,2.133582728982168,0.556888068911929,16.749572317593817,0.7727463868836788,1
91,True,3.273030688470549,3.665245236462489,0.07652501442371583,0.0001000005874659698,0.0948195576523153,,0.6765958602311154,0.6415865274008603,1.0,1.0,3.532574355889291,0.1,2.0,0.6464094576961801,1
92,True,2.0399878872291035,2.1870145297821764,0.10571695397373797,0.00010002794168542226,7.0812727311748125,,0.9999947584820662,0.9999999987180397,1.0,1.0,2.124643045971272,0.1,7.012912346965612,0.9999,1
93,True,1.6161620133609094,1.6796903407709796,0.32832143959058263,0.12577402194946447,6.181985224786908,,0.9468662333884789,0.9999999348741044,1.0,1.0,1.679772582632661,0.1257705235909611,2.0,0.9999,1
94,True,2.6981410259460676,2.587026803117256,0.04613633701093196,0.13834598616149626,0.9583322590535639,,1.0,0.9999999999992837,1.0,1.0,2.58710757415404,0.1383610902373548,10.258261002691928,0.9999,1
95,True,1.9973840228310742,1.9464482243593237,0.1983163807101701,0.27121656508522823,0.5872623799670575,,1.0,0.9496804906088009,1.0,1.0,1.946446784287903,0.2712168038420177,11.142262028762488,0.9496818351581751,1
96,True,2.2417255383238635,2.1882091190617086,3.43067113563108e-07,0.18383347262339295,1.590834332715171,1.0169756200448496,1.0,1.0,2.0,2.0,2.1882626416392794,0.18384014362445744,1.0170433569221569,0.9999,2
97,True,2.4001255245666564,2.2480185102213963,0.1924248722782424,0.3437383154445321,6.860803118671561,6.34570609927179,0.6792028267724519,0.7026867959330023,2.0,2.0,2.2480189574097977,0.34373748902235585,6.345907265016256,0.7026864692466114,2
98,True,2.3282585227037416,2.232689137505208,0.36351546807090473,0.4967948579922457,0.23777680712129468,0.5044779780763976,0.3981119794066902,0.4219193713686452,2.0,2.0,2.2326892307582336,0.4967948614333379,0.5044773909203412,0.42191939540089207,2
99,True,2.829345035159296,3.110388223838679,0.3803371069313866,0.4325169758574679,0.31964491467257,0.34322089396381433,0.7052948321026663,0.6132214857436149,2.0,2.0,3.1103880941436723,0.432517002525206,0.3432210050916837,0.6132215411179831,2
100,True,2.687187094467849,2.6141352792101356,0.00010000526225616115,5.547743089416518e-09,0.3125951575803118,0.4966589923506537,0.795505045598826,0.7171447483951625,2.0,2.0,2.505835537316846,0.1,0.5768883567667423,0.7082909907723278,2
101,True,2.170234578801411,2.3760278634711427,0.018523047480433912,1.8427911589538067e-08,1.0016749722118967,1.4541979708051715,1.0,0.7666180803174419,2.0,2.0,2.3062442889546997,0.1,1.501204420396942,0.752791300478244,2
102,True,2.147112405988379,2.627003686149427,4.3351377949914345e-10,0.051700694125597475,1.1479126604699599,1.3153656627525556,0.6833218243783534,0.48760370647971407,2.0,2.0,2.5919306456497733,0.1,1.2974422990951482,0.4851091922563316,2
